## Mon May 15 12:40:07 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
593_t	29730.Gorai.007G018400.1	2.09e-131	373.0	COG0097@1|root,KOG3255@2759|Eukaryota,37IY1@33090|Viridiplantae,3GBVA@35493|Streptophyta	35493|Streptophyta	J	60s ribosomal protein	-	-	-	ko:K02940	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L6
594_t	3641.EOY23794	0.0	1166.0	KOG0845@1|root,KOG0845@2759|Eukaryota,37P9N@33090|Viridiplantae,3GEMW@35493|Streptophyta	35493|Streptophyta	UY	Nuclear pore complex protein	-	GO:0000972,GO:0000973,GO:0003674,GO:0003676,GO:0003682,GO:0003712,GO:0003713,GO:0003723,GO:0003729,GO:0005048,GO:0005198,GO:0005215,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005643,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006403,GO:0006405,GO:0006406,GO:0006606,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0006997,GO:0006999,GO:0008104,GO:0008139,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0012505,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016032,GO:0016043,GO:0016234,GO:0016604,GO:0017038,GO:0017056,GO:0019219,GO:0019222,GO:0022607,GO:0031080,GO:0031090,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031503,GO:0031965,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032991,GO:0033036,GO:0033120,GO:0033218,GO:0033365,GO:0034397,GO:0034398,GO:0034399,GO:0034504,GO:0034613,GO:0034622,GO:0034641,GO:0034645,GO:0042277,GO:0042405,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043484,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044614,GO:0044615,GO:0045184,GO:0045935,GO:0046483,GO:0046907,GO:0046931,GO:0048024,GO:0048026,GO:0048518,GO:0048522,GO:0050000,GO:0050657,GO:0050658,GO:0050684,GO:0050685,GO:0050789,GO:0050794,GO:0051028,GO:0051168,GO:0051169,GO:0051170,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051236,GO:0051252,GO:0051254,GO:0051276,GO:0051292,GO:0051640,GO:0051641,GO:0051649,GO:0051704,GO:0060255,GO:0065003,GO:0065007,GO:0070013,GO:0070727,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072594,GO:0080090,GO:0090304,GO:0097159,GO:0140110,GO:1901360,GO:1901363,GO:1901576,GO:1902680,GO:1903311,GO:1903313,GO:1903506,GO:1903508,GO:1990841,GO:1990904,GO:2001141	-	ko:K14297	ko03013,ko05164,map03013,map05164	M00427	-	-	ko00000,ko00001,ko00002,ko03019,ko03036	1.I.1	-	-	Nucleoporin2
596_t	3641.EOY23795	1.63e-208	585.0	290FS@1|root,2QW4B@2759|Eukaryota,37TP3@33090|Viridiplantae,3GE2U@35493|Streptophyta	35493|Streptophyta	K	transcription factor	-	GO:0000302,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006950,GO:0006979,GO:0007275,GO:0008150,GO:0009719,GO:0009723,GO:0009725,GO:0009791,GO:0009889,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0022622,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0035864,GO:0035865,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044424,GO:0044464,GO:0048364,GO:0048528,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051716,GO:0060255,GO:0065007,GO:0070887,GO:0071241,GO:0071248,GO:0080090,GO:0090696,GO:0097159,GO:0099402,GO:0140110,GO:1901363,GO:1901700,GO:1903506,GO:2000112,GO:2001141	-	ko:K09286	-	-	-	-	ko00000,ko03000	-	-	-	AP2
597_t	3641.EOY23797	1.9e-70	216.0	2CNGH@1|root,2S40S@2759|Eukaryota,37WIH@33090|Viridiplantae,3GKAQ@35493|Streptophyta	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
598_t	3641.EOY23801	0.0	938.0	28I7T@1|root,2QQI4@2759|Eukaryota,37NI7@33090|Viridiplantae,3GEMY@35493|Streptophyta	35493|Streptophyta	G	(NAC) domain-containing protein	-	GO:0001067,GO:0002831,GO:0002833,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005783,GO:0005789,GO:0005886,GO:0006355,GO:0006950,GO:0006970,GO:0008150,GO:0009314,GO:0009416,GO:0009628,GO:0009642,GO:0009644,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009962,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0012505,GO:0016020,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031347,GO:0031349,GO:0031984,GO:0032101,GO:0032103,GO:0033554,GO:0042175,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043900,GO:0043902,GO:0044212,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051716,GO:0060255,GO:0065007,GO:0071214,GO:0071470,GO:0071944,GO:0080090,GO:0080134,GO:0097159,GO:0098827,GO:0104004,GO:0140110,GO:1900424,GO:1900426,GO:1901363,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000112,GO:2000113,GO:2001141	-	-	-	-	-	-	-	-	-	-	NAM
600_t	29730.Gorai.004G127400.1	6.75e-47	160.0	KOG0800@1|root,KOG0800@2759|Eukaryota	2759|Eukaryota	O	ubiquitin-protein transferase activity	-	GO:0003674,GO:0003824,GO:0004842,GO:0006464,GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010498,GO:0016567,GO:0016740,GO:0019538,GO:0019787,GO:0019941,GO:0030163,GO:0032446,GO:0036211,GO:0043161,GO:0043170,GO:0043412,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0051603,GO:0061630,GO:0061659,GO:0070647,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575	2.3.2.27	ko:K19040	-	-	-	-	ko00000,ko01000,ko04121	-	-	-	zf-RING_2
601_t	3641.EOY23777	3.75e-240	665.0	COG5277@1|root,KOG0676@2759|Eukaryota,37NJU@33090|Viridiplantae,3GDXS@35493|Streptophyta	35493|Streptophyta	Z	Belongs to the actin family	-	-	-	ko:K10355	-	-	-	-	ko00000,ko04812	-	-	-	Actin
602_t	3641.EOY23778	1.06e-59	189.0	2CY0H@1|root,2S14B@2759|Eukaryota,37VIE@33090|Viridiplantae,3GJJ4@35493|Streptophyta	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
603_t	3641.EOY23786	1.17e-144	417.0	28N0B@1|root,2QRHH@2759|Eukaryota,37MSB@33090|Viridiplantae,3GGER@35493|Streptophyta	35493|Streptophyta	S	WAT1-related protein	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0005938,GO:0007154,GO:0007165,GO:0008150,GO:0009719,GO:0009725,GO:0009733,GO:0009734,GO:0009755,GO:0009987,GO:0010033,GO:0016020,GO:0016021,GO:0023052,GO:0031224,GO:0031226,GO:0032870,GO:0042221,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0070887,GO:0071310,GO:0071365,GO:0071495,GO:0071944,GO:0099568	-	-	-	-	-	-	-	-	-	-	EamA
604_t	3641.EOY00620	1.37e-181	575.0	COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae,3G8BW@35493|Streptophyta	35493|Streptophyta	E	Uncharacterized protein K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	G-patch,RVT_1,RVT_3,Retrotrans_gag,rve
606_t	3641.EOY23885	9.77e-279	769.0	2CNIN@1|root,2QWIW@2759|Eukaryota,37TNZ@33090|Viridiplantae,3G862@35493|Streptophyta	35493|Streptophyta	K	transcription factor	-	-	-	ko:K13422	ko04016,ko04075,map04016,map04075	-	-	-	ko00000,ko00001,ko03000	-	-	-	HLH,bHLH-MYC_N
607_t	3641.EOY23882	5.09e-306	838.0	COG0596@1|root,KOG1454@2759|Eukaryota,37KZI@33090|Viridiplantae,3GCB5@35493|Streptophyta	35493|Streptophyta	S	hydrolase, alpha beta fold family	-	GO:0001101,GO:0005575,GO:0005618,GO:0005623,GO:0006725,GO:0006810,GO:0006833,GO:0006950,GO:0006952,GO:0006970,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009505,GO:0009605,GO:0009607,GO:0009620,GO:0009628,GO:0009698,GO:0009699,GO:0009719,GO:0009725,GO:0009737,GO:0009791,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010033,GO:0010115,GO:0010143,GO:0010148,GO:0010345,GO:0010556,GO:0010557,GO:0010565,GO:0010604,GO:0019216,GO:0019222,GO:0019438,GO:0019747,GO:0019748,GO:0022622,GO:0030312,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0033993,GO:0042044,GO:0042221,GO:0042335,GO:0043170,GO:0043207,GO:0043455,GO:0044237,GO:0044249,GO:0044464,GO:0044550,GO:0046890,GO:0048364,GO:0048518,GO:0048527,GO:0048528,GO:0048583,GO:0048584,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050832,GO:0050896,GO:0051179,GO:0051234,GO:0051704,GO:0051707,GO:0060255,GO:0062012,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0080134,GO:0090696,GO:0097305,GO:0098542,GO:0099402,GO:1901360,GO:1901362,GO:1901576,GO:1901700,GO:1901957,GO:1901959,GO:1902584,GO:1902930,GO:2000070	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1
608_t	72664.XP_006405050.1	5.53e-42	154.0	COG2801@1|root,KOG0017@2759|Eukaryota,37VVP@33090|Viridiplantae,3GJYB@35493|Streptophyta	35493|Streptophyta	L	gag-polypeptide of LTR copia-type	-	-	-	-	-	-	-	-	-	-	-	-	Retrotran_gag_2,zf-CCHC
609_t	4081.Solyc11g062200.1.1	3.94e-295	844.0	COG2801@1|root,KOG0017@2759|Eukaryota,37THH@33090|Viridiplantae,3GG2K@35493|Streptophyta,44UC5@71274|asterids	35493|Streptophyta	L	Mitochondrial protein	-	-	-	-	-	-	-	-	-	-	-	-	RVT_2,Retrotran_gag_2,Retrotran_gag_3,Retrotrans_gag,gag_pre-integrs,rve,zf-CCHC
610_t	3641.EOY23876	1.35e-140	421.0	KOG2569@1|root,KOG2569@2759|Eukaryota,37J9Y@33090|Viridiplantae,3GASN@35493|Streptophyta	35493|Streptophyta	T	Lung seven transmembrane receptor	-	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005768,GO:0005769,GO:0005794,GO:0006810,GO:0006897,GO:0006898,GO:0008150,GO:0012505,GO:0016192,GO:0030135,GO:0030136,GO:0030276,GO:0031410,GO:0031974,GO:0031981,GO:0031982,GO:0032050,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0051179,GO:0051234,GO:0070013,GO:0072583,GO:0097708,GO:0098657	-	-	-	-	-	-	-	-	-	-	Lung_7-TM_R
611_t	3641.EOY23875	8.54e-159	465.0	2CCM3@1|root,2QW9F@2759|Eukaryota,37K8Q@33090|Viridiplantae,3GDG3@35493|Streptophyta	35493|Streptophyta	S	Protein BRANCHLESS TRICHOME	-	GO:0000902,GO:0000904,GO:0008150,GO:0009653,GO:0009888,GO:0009987,GO:0010026,GO:0010090,GO:0010091,GO:0016043,GO:0030154,GO:0032502,GO:0032989,GO:0048468,GO:0048856,GO:0048869,GO:0071840,GO:0090558,GO:0090626	-	-	-	-	-	-	-	-	-	-	-
612_t	3641.EOY23874	3e-241	675.0	28P3H@1|root,2QVQ2@2759|Eukaryota,37IXZ@33090|Viridiplantae,3G8P5@35493|Streptophyta	35493|Streptophyta	K	growth-regulating factor	-	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0007275,GO:0008150,GO:0009507,GO:0009526,GO:0009536,GO:0009941,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0048366,GO:0048367,GO:0048731,GO:0048827,GO:0048856,GO:0099402	-	-	-	-	-	-	-	-	-	-	QLQ,WRC
613_t	3641.EOY23870	2.01e-277	770.0	28W80@1|root,2R300@2759|Eukaryota,37Q0T@33090|Viridiplantae,3GGC8@35493|Streptophyta	35493|Streptophyta	S	IQ-domain	IQD16	-	-	-	-	-	-	-	-	-	-	-	DUF4005,IQ
614_t	3641.EOY23869	1.11e-90	280.0	KOG2824@1|root,KOG2824@2759|Eukaryota,37I4Q@33090|Viridiplantae,3GEM3@35493|Streptophyta	35493|Streptophyta	O	Glutaredoxin	-	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K17479	-	-	-	-	ko00000,ko01009,ko03110	-	-	-	Glutaredoxin
615_t	3641.EOY23867	2.05e-273	755.0	28JX2@1|root,2QSBA@2759|Eukaryota,37NZ0@33090|Viridiplantae,3GBGJ@35493|Streptophyta	35493|Streptophyta	K	NAC domain-containing protein	-	GO:0000003,GO:0003674,GO:0003700,GO:0006355,GO:0008150,GO:0009832,GO:0009834,GO:0009889,GO:0009891,GO:0009893,GO:0009900,GO:0009987,GO:0010047,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0022414,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032501,GO:0032504,GO:0042546,GO:0044085,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0048609,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071554,GO:0071669,GO:0071840,GO:0080090,GO:0140110,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	NAM
616_t	3641.EOY23866	1.31e-127	374.0	2A963@1|root,2RNGK@2759|Eukaryota,37S8D@33090|Viridiplantae,3GH84@35493|Streptophyta	35493|Streptophyta	S	Domain of unknown function (DUF4228)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4228
617_t	3641.EOY23858	2.26e-226	626.0	KOG0118@1|root,KOG0118@2759|Eukaryota,37R12@33090|Viridiplantae,3GAYQ@35493|Streptophyta	35493|Streptophyta	A	Polyadenylate-binding protein-interacting protein	-	GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0016604,GO:0016607,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0070013,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	PAM2,RRM_1
618_t	3983.cassava4.1_008151m	3.82e-59	194.0	2CNBT@1|root,2QV2I@2759|Eukaryota,37HRC@33090|Viridiplantae,3GH4B@35493|Streptophyta	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	PHD
619_t	3641.EOY23842	0.0	1118.0	COG0297@1|root,2QQX3@2759|Eukaryota,37IBR@33090|Viridiplantae,3GDJM@35493|Streptophyta	35493|Streptophyta	H	Belongs to the glycosyltransferase 1 family. Bacterial plant glycogen synthase subfamily	WAXY	GO:0000166,GO:0000271,GO:0003674,GO:0003824,GO:0004373,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005976,GO:0005982,GO:0006073,GO:0008150,GO:0008152,GO:0008194,GO:0009011,GO:0009058,GO:0009059,GO:0009250,GO:0009501,GO:0009507,GO:0009536,GO:0009569,GO:0009987,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0017076,GO:0019252,GO:0019863,GO:0019865,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033692,GO:0034637,GO:0034645,GO:0035251,GO:0036094,GO:0043036,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043531,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0044877,GO:0046527,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901576	2.4.1.242	ko:K13679	ko00500,ko01100,ko01110,map00500,map01100,map01110	-	R00292,R02421	RC00005	ko00000,ko00001,ko01000,ko01003	-	GT5	-	Glyco_transf_5,Glycos_transf_1
621_t	3641.EOY23838	2.68e-44	145.0	2E9H0@1|root,2SFUV@2759|Eukaryota,37XX3@33090|Viridiplantae,3GMKQ@35493|Streptophyta	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
622_t	3641.EOY23837	2.56e-271	752.0	KOG2761@1|root,KOG2761@2759|Eukaryota,37RQY@33090|Viridiplantae,3G9EI@35493|Streptophyta	35493|Streptophyta	I	Polyketide cyclase dehydrase and lipid transport superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	START
623_t	3641.EOY23836	9.35e-218	615.0	KOG2288@1|root,KOG2288@2759|Eukaryota,37NNI@33090|Viridiplantae,3G9XV@35493|Streptophyta	35493|Streptophyta	G	Belongs to the glycosyltransferase 31 family	-	GO:0000003,GO:0000139,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0007275,GO:0008150,GO:0008378,GO:0009790,GO:0009791,GO:0009793,GO:0010154,GO:0012505,GO:0016020,GO:0016740,GO:0016757,GO:0016758,GO:0022414,GO:0031090,GO:0031984,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0061458,GO:0098588,GO:0098791	-	ko:K20856	-	-	-	-	ko00000,ko01000,ko01003	-	GT31	-	DUF4094,Galactosyl_T
624_t	3641.EOY23827	3.8e-86	256.0	KOG0800@1|root,KOG0800@2759|Eukaryota,37WDF@33090|Viridiplantae,3GKDF@35493|Streptophyta	35493|Streptophyta	O	finger protein	-	-	-	-	-	-	-	-	-	-	-	-	zf-RING_2
626_t	3641.EOY23823	1.29e-199	565.0	COG1230@1|root,KOG1482@2759|Eukaryota,37ID4@33090|Viridiplantae,3GAQC@35493|Streptophyta	35493|Streptophyta	P	metal tolerance protein	-	GO:0000041,GO:0003674,GO:0005215,GO:0005385,GO:0006810,GO:0006811,GO:0006812,GO:0006829,GO:0008150,GO:0008324,GO:0015075,GO:0015318,GO:0022857,GO:0022890,GO:0030001,GO:0032879,GO:0034220,GO:0042592,GO:0046873,GO:0046915,GO:0048878,GO:0050789,GO:0050794,GO:0050801,GO:0051179,GO:0051234,GO:0055085,GO:0061088,GO:0065007,GO:0065008,GO:0070838,GO:0071577,GO:0072509,GO:0072511,GO:0098655,GO:0098660,GO:0098662	-	ko:K14689	-	-	-	-	ko00000,ko02000	2.A.4.3.1,2.A.4.3.4	-	-	Cation_efflux
627_t	3641.EOY23819	4.42e-211	594.0	COG3491@1|root,KOG0143@2759|Eukaryota,37HXI@33090|Viridiplantae,3G7DT@35493|Streptophyta	35493|Streptophyta	Q	Belongs to the iron ascorbate-dependent oxidoreductase family	-	GO:0001101,GO:0002229,GO:0002239,GO:0006082,GO:0006725,GO:0006950,GO:0006952,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0009056,GO:0009605,GO:0009607,GO:0009617,GO:0009620,GO:0009696,GO:0009719,GO:0009725,GO:0009751,GO:0009987,GO:0010033,GO:0010150,GO:0010817,GO:0014070,GO:0016054,GO:0016999,GO:0017001,GO:0017144,GO:0018958,GO:0019336,GO:0019439,GO:0019752,GO:0032501,GO:0032502,GO:0032787,GO:0042221,GO:0042445,GO:0042447,GO:0042493,GO:0042537,GO:0042737,GO:0043207,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046244,GO:0046395,GO:0046677,GO:0048366,GO:0048367,GO:0048731,GO:0048827,GO:0048856,GO:0050896,GO:0051704,GO:0051707,GO:0065007,GO:0065008,GO:0071704,GO:0072329,GO:0090693,GO:0098542,GO:0099402,GO:1901360,GO:1901361,GO:1901575,GO:1901615,GO:1901616,GO:1901700	-	-	-	-	-	-	-	-	-	-	2OG-FeII_Oxy,DIOX_N
629_t	29730.Gorai.001G240300.1	3.75e-43	169.0	COG0626@1|root,KOG0053@2759|Eukaryota,37K09@33090|Viridiplantae,3G79I@35493|Streptophyta	35493|Streptophyta	E	Cystathionine gamma-synthase	-	GO:0000096,GO:0000097,GO:0001887,GO:0003674,GO:0003824,GO:0003962,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009987,GO:0016053,GO:0016740,GO:0016765,GO:0019752,GO:0019842,GO:0030170,GO:0036094,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0048037,GO:0050662,GO:0070279,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.5.1.48	ko:K01739	ko00270,ko00450,ko00920,ko01100,ko01110,ko01130,ko01230,map00270,map00450,map00920,map01100,map01110,map01130,map01230	M00017	R00999,R01288,R02508,R03217,R03260,R04944,R04945,R04946	RC00020,RC00056,RC00069,RC00420,RC02848,RC02866	ko00000,ko00001,ko00002,ko01000	-	-	-	Cys_Met_Meta_PP
631_t	3641.EOY03806	1.2e-97	295.0	COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae	33090|Viridiplantae	E	Uncharacterized protein K02A2.6-like	-	-	-	ko:K07478	-	-	-	-	ko00000	-	-	-	G-patch,RVT_1,RVT_3,Retrotrans_gag,rve
632_t	3641.EOY21879	2.38e-42	154.0	COG2801@1|root,KOG0017@2759|Eukaryota,37R6P@33090|Viridiplantae	33090|Viridiplantae	E	Uncharacterized protein K02A2.6-like	-	-	-	ko:K07478	-	-	-	-	ko00000	-	-	-	G-patch,RVT_1,RVT_3,Retrotrans_gag,rve
633_t	3641.EOY24726	4.51e-263	731.0	COG3572@1|root,2QVEN@2759|Eukaryota,37P15@33090|Viridiplantae,3G90F@35493|Streptophyta	35493|Streptophyta	H	Glutamate-cysteine ligase	GSH1	GO:0000003,GO:0000302,GO:0001101,GO:0002213,GO:0002376,GO:0003006,GO:0003674,GO:0003824,GO:0004357,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006518,GO:0006575,GO:0006725,GO:0006749,GO:0006750,GO:0006790,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0006979,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009266,GO:0009403,GO:0009404,GO:0009408,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009605,GO:0009607,GO:0009617,GO:0009620,GO:0009628,GO:0009700,GO:0009719,GO:0009725,GO:0009753,GO:0009791,GO:0009814,GO:0009816,GO:0009908,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010193,GO:0016043,GO:0016143,GO:0016144,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019184,GO:0019438,GO:0019748,GO:0019757,GO:0019758,GO:0019760,GO:0019761,GO:0022414,GO:0032501,GO:0032502,GO:0033036,GO:0033037,GO:0033554,GO:0034641,GO:0042221,GO:0042398,GO:0042430,GO:0042435,GO:0042493,GO:0042545,GO:0042742,GO:0043043,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0044550,GO:0045087,GO:0045229,GO:0046217,GO:0046483,GO:0046677,GO:0046686,GO:0048367,GO:0048608,GO:0048731,GO:0048856,GO:0050832,GO:0050896,GO:0051179,GO:0051186,GO:0051188,GO:0051641,GO:0051704,GO:0051707,GO:0051716,GO:0052314,GO:0052315,GO:0052386,GO:0052482,GO:0052542,GO:0052543,GO:0052544,GO:0052545,GO:0061458,GO:0070727,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0090567,GO:0098542,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659,GO:1901700	6.3.2.2	ko:K01919	ko00270,ko00480,ko01100,map00270,map00480,map01100	M00118	R00894,R10993	RC00064,RC00090	ko00000,ko00001,ko00002,ko01000	-	-	-	GCS2
